,vi_family,grad_estimator_type,good_model_id,laplaces_method_use,augmentation_param_M,step_size,num_epochs,time per iter,good_model_names,seed,final_metric,final_metric_std,training_average_lower_bound,sampling_M,step_size_scheme
0,gaussian,IWAE,2,0,1,0.03333333333333333,30000,0.02072204423745473,test_simplex,11,-4.44579385843559,0.41615755248433267,-4.924150041631048,1,comprehensive step search
1,gaussian,IWAE,2,0,10,0.03333333333333333,30000,0.01340193628470103,test_simplex,11,-4.651815988395383,1.126111886204586,-4.597332792845788,1,comprehensive step search
2,gaussian,IWAE,2,1,1,0.03333333333333333,30000,0.01883754407564799,test_simplex,11,-4.451853662603084,0.419900888150677,-4.47918969992604,1,comprehensive step search
3,gaussian,IWAE,2,1,10,0.03333333333333333,30000,0.01365769596894582,test_simplex,11,-4.654013478687826,1.1204757903244176,-4.382526808650528,1,comprehensive step search
4,gaussian,IWAEDREG,2,0,1,0.03333333333333333,30000,0.02130938572883606,test_simplex,11,-4.44785987731433,0.39691855518671815,-4.922551899906311,1,comprehensive step search
5,gaussian,IWAEDREG,2,0,10,0.03333333333333333,30000,0.012754906797409057,test_simplex,11,-4.632987487552039,1.1006294704250486,-4.598169318917217,1,comprehensive step search
6,gaussian,IWAEDREG,2,1,1,0.03333333333333333,30000,0.019074138363202413,test_simplex,11,-4.446171417596537,0.38873673792673175,-4.475718672618625,1,comprehensive step search
7,gaussian,IWAEDREG,2,1,10,0.03333333333333333,30000,0.01292339632511139,test_simplex,11,-4.625771068357459,1.0881308602420088,-4.387339269422827,1,comprehensive step search
8,gaussian,IWAE,3,0,1,0.002564102564102564,30000,0.09526430633862813,naive_bayes,11,-3615.4633235551505,0.9063241845677273,-4450.452983384838,1,comprehensive step search
9,gaussian,IWAE,3,0,10,0.002564102564102564,30000,0.08778668688933054,naive_bayes,11,-3616.7197747031732,2.197579086954637,-4067.781224215868,1,comprehensive step search
10,gaussian,IWAE,3,1,1,0.000641025641025641,30000,0.09406811134020487,naive_bayes,11,-3615.3270544311786,0.7049115089991344,-3615.411686381516,1,comprehensive step search
11,gaussian,IWAE,3,1,10,4.0064102564102564e-05,30000,0.0929259514729182,naive_bayes,11,-3615.4290063940116,1.2721560635977884,-3615.167737865978,1,comprehensive step search
12,gaussian,IWAEDREG,3,0,1,0.002564102564102564,30000,0.09533167248566946,naive_bayes,11,-3615.288886567703,0.6391735443277421,-4450.324250345879,1,comprehensive step search
13,gaussian,IWAEDREG,3,0,10,0.002564102564102564,30000,0.0883154493967692,naive_bayes,11,-3615.433370039501,1.1630336657332008,-4067.029616214788,1,comprehensive step search
14,gaussian,IWAEDREG,3,1,1,0.002564102564102564,30000,0.09602484262784322,naive_bayes,11,-3615.291410301058,0.6481928363081585,-3615.3530197467817,1,comprehensive step search
15,gaussian,IWAEDREG,3,1,10,0.002564102564102564,30000,0.08777050798734029,naive_bayes,11,-3615.4147955101034,1.1868912556817122,-3615.1190858788495,1,comprehensive step search
16,rnvp,IWAE,3,0,1,0.002564102564102564,30000,0.2365815610408783,naive_bayes,11,-3615.3514330517373,0.7299298968063721,-3992.0208236235,1,comprehensive step search
17,rnvp,IWAE,3,0,10,0.000641025641025641,30000,0.2059071171204249,naive_bayes,11,-3615.9347052953176,1.5515444051725613,-3949.606885978914,1,comprehensive step search
18,rnvp,IWAEDREG,3,0,1,0.002564102564102564,30000,0.23647463796138762,naive_bayes,11,-3615.095104737836,0.22844350836906543,-3991.8064501141316,1,comprehensive step search
19,rnvp,IWAEDREG,3,0,10,0.002564102564102564,30000,0.22049056557019553,naive_bayes,11,-3615.1684959076138,0.46434431404719767,-3855.7298083602977,1,comprehensive step search
20,gaussian,IWAE,5,0,1,0.00625,30000,0.0272717679977417,congress,11,738.6007592942417,0.7473559204149932,-608.072306200541,1,comprehensive step search
21,gaussian,IWAE,5,0,10,0.0015625,30000,0.019946799715360005,congress,11,734.2759704679404,7.881346246010263,297.6517039394995,1,comprehensive step search
22,gaussian,IWAE,5,1,1,9.765625e-05,30000,0.0276865105787913,congress,11,738.7868983481158,0.11717213723316335,738.7789751043955,1,comprehensive step search
23,gaussian,IWAE,5,1,10,9.765625e-05,30000,0.018839386057853697,congress,11,738.7082578504579,0.4881103885647333,738.7788591159477,1,comprehensive step search
24,gaussian,IWAEDREG,5,0,1,0.0015625,30000,0.026361237120628357,congress,11,738.7803207100505,0.17127829070423822,-1104.2008502292,1,comprehensive step search
25,gaussian,IWAEDREG,5,0,10,0.0015625,30000,0.019051300748189292,congress,11,738.7878659149243,0.1287240647588781,297.82827752970593,1,comprehensive step search
26,gaussian,IWAEDREG,5,1,1,9.765625e-05,30000,0.026877771274248757,congress,11,738.7871307651083,0.10379077939901317,738.7855352022686,1,comprehensive step search
27,gaussian,IWAEDREG,5,1,10,0.000390625,30000,0.01940278502305349,congress,11,738.7818681190062,0.16072972719297607,738.7940494963651,1,comprehensive step search
28,rnvp,IWAE,5,0,1,0.00625,30000,0.13096383532683054,congress,11,738.7674498052733,0.25341843004950315,281.39325967068027,1,comprehensive step search
